FID,OBJECTID,SHAPE,BEZ,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDE,DATIERUNG,SE_ANNO_CAD_DATA
FUNDPUNKTEOGD.4546963,4546963,POINT (16.341790251036123 48.278473481246216),19,Waldbachsteig,,,"Einzel-, Streufund","Schuhleistenkeil, Keramik",Urgeschichte,
FUNDPUNKTEOGD.4546964,4546964,POINT (16.34515570569013 48.27639330356878),19,Leopoldsberg,,,"Einzel-, Streufund",Keramik,unbekannt,
FUNDPUNKTEOGD.4546965,4546965,POINT (16.371162288905037 48.232572700330564),20,Brigittaplatz,,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4546966,4546966,POINT (16.39032238756771 48.238719684094704),20,Zwischenbrücken,,,"Einzel-, Streufund",Steinbeil,Urgeschichte,
FUNDPUNKTEOGD.4546967,4546967,POINT (16.411614366709575 48.254177667432494),21,Donaufelder Straße,37,,"Einzel-, Streufund","Münzen, Keramik",Neuzeit,
FUNDPUNKTEOGD.4546968,4546968,POINT (16.370833804836515 48.200892646749885),1,Akademiestraße,12,,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4546969,4546969,POINT (16.481948750970187 48.23621469491987),22,Farngasse,,,"Einzel-, Streufund","Flachbeil, Keramik",Urgeschichte,
FUNDPUNKTEOGD.4546970,4546970,POINT (16.39129801964951 48.19396058417803),3,Boerhaavegasse,16,,Siedlungsbefund,"Knochen, Keramik, Glas, Terra Sigillata, Terra Nigra, Ziegel mit Stempel, Münzen, Boden",Römerzeit,
FUNDPUNKTEOGD.4546971,4546971,POINT (16.370748198143012 48.1930127706999),4,Favoritenstraße (Theresianum),,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4546972,4546972,POINT (16.372096319495334 48.2002328030124),1,Karlsplatz,,,Negativbefund,Baumaterial,unbekannt,
FUNDPUNKTEOGD.4546973,4546973,POINT (16.296984420267286 48.16395336951373),12,Dorfmeistergasse,11,,Siedlungsbefund,römische Wasserleitung,Römerzeit,
FUNDPUNKTEOGD.4546974,4546974,POINT (16.376479013902564 48.21081878360954),1,Fleischmarkt,3,5,Siedlungsbefund,"Gruben, Ziegel, Keramik, Terra Sigillata, Kupfereichel",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4546975,4546975,POINT (16.349463427951743 48.193229296985955),6,Gumpendorfer Straße,89,,Siedlungsbefund,"Salbentöpfchen, Grube",unbekannt,
FUNDPUNKTEOGD.4546976,4546976,POINT (16.339832146696462 48.216957833780164),17,Hernalser Hauptstraße,20,22,Siedlungsbefund,"Brunnen, Keramik, Glas, Tierknochen",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4546977,4546977,POINT (16.474349010381438 48.15832427220131),11,Münnichplatz,,,Siedlungsbefund,"Mauerwerk, Körpergräber",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4546978,4546978,POINT (16.38628197202169 48.19487392412734),3,Ungargasse,66,,Siedlungsbefund,"Mauerwerk, Wohngruben, Keramik, Tierknochen, Ziegel, Löschwasserbehälter",Urgeschichte/Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4546979,4546979,POINT (16.374723998660915 48.210375750759304),1,Rotenturmstraße,10,12,"Einzel-, Streufund",,unbekannt,
FUNDPUNKTEOGD.4546980,4546980,POINT (16.368702726902633 48.20164051781383),1,Elisabethstraße,1,,Grabbefund,Gräber,Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4546981,4546981,POINT (16.372383933237636 48.20927313459238),1,Brandstätte,1,,"Einzel-, Streufund",Steindenkmal,Römerzeit,
FUNDPUNKTEOGD.4546982,4546982,POINT (16.369612967284635 48.21241962199743),1,Wipplingerstraße,16,,"Einzel-, Streufund","Altäre, Keramik, Bronzehaken, Knochen, Ziegel, Mahlstein",Römerzeit,
FUNDPUNKTEOGD.4546983,4546983,POINT (16.37114460251386 48.21122225885598),1,Schultergasse,5,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4546984,4546984,POINT (16.372610809551244 48.20095982465989),1,Dumbagasse,1,,"Einzel-, Streufund",Bronzenadel,unbekannt,
FUNDPUNKTEOGD.4546985,4546985,POINT (16.369752463118765 48.20771591290831),1,Dorotheergasse,5,7,Siedlungsbefund,"Gruben, Keramik, Münzen, Ziegel",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4546986,4546986,POINT (16.372476253911756 48.2091131160875),1,Stephansplatz,8,,"Einzel-, Streufund","Münze, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4546987,4546987,POINT (16.384110196759316 48.201574236124436),3,Rechte Bahngasse,14,,"Einzel-, Streufund",Glas,Römerzeit,
FUNDPUNKTEOGD.4547183,4547183,POINT (16.344570067993516 48.21086899094333),8,Skodagasse,4,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4547184,4547184,POINT (16.35617335814978 48.22221113524105),9,Boltzmanngasse,7,,"Einzel-, Streufund",Glas,Römerzeit,
FUNDPUNKTEOGD.4547185,4547185,POINT (16.35679246796036 48.224309318216704),9,Boltzmanngasse,28,30,Siedlungsbefund,"Grube, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547186,4547186,POINT (16.35451409450784 48.228562135594224),9,Nußdorfer Straße,53,,Grabbefund,"Menschenskelett, Tierknochen, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4547187,4547187,POINT (16.351099180562073 48.216900792420844),9,Spitalgasse,13,17,Grabbefund,Menschenskelette,Neuzeit,
FUNDPUNKTEOGD.4547188,4547188,POINT (16.388342553851757 48.19828085959583),3,Engelsberggasse,5,,Grabbefund,"Brandgrab, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547189,4547189,POINT (16.397548125057025 48.20599614383455),2,Rotundenbrücke,,,"Einzel-, Streufund","Keramik, Schmelztiegel",Mittelalter/Neuzeit?,
FUNDPUNKTEOGD.4547190,4547190,POINT (16.4082184861803 48.18686494442985),3,Maria-Jacobi-Gasse,,,Grabbefund,"Straße, Menschenskelette",Römerzeit,
FUNDPUNKTEOGD.4547191,4547191,POINT (16.503561904590004 48.253897069238896),22,Breitenlee,,,Grabbefund,"Grab, Menschenskelett",Römerzeit,
FUNDPUNKTEOGD.4547192,4547192,POINT (16.47954996991611 48.216931043627255),22,Aspern (Friedhof),,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547193,4547193,POINT (16.392022492996592 48.192666331321156),3,Rennweg,54,,Siedlungsbefund,"Gruben, Brunnen, Mauerwerk, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547194,4547194,POINT (16.4202441442564 48.13104979863716),10,Klederinger Straße (Johanneskirche),,,Siedlungsbefund,"Mauerwerk, Grube, Keramik, Öfen, Weg mit Spurrillen",Urgeschichte/Römerzeit/Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4547195,4547195,POINT (16.465640099921618 48.15560956947334),11,Mühlsangergasse,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547196,4547196,POINT (16.41184580180886 48.17733085257606),11,Hauffgasse,4,,Grabbefund,"Grab, Tierknochen, Menschenskelett, Schmuck, Beschläge, Schwert",Mittelalter,
FUNDPUNKTEOGD.4547197,4547197,POINT (16.338461022782916 48.16045498494713),10,Inzersdorf,,,Grabbefund,"Glas, Lampen, Münzen, Terra Sigillata, Fibel, Schmuck, Brandgrab",Römerzeit,
FUNDPUNKTEOGD.4547198,4547198,POINT (16.402621202153725 48.19417929815256),3,Baumgasse,,,Siedlungsbefund,Straße,Römerzeit,
FUNDPUNKTEOGD.4547199,4547199,POINT (16.39259123587594 48.191926278051575),3,Aspangstraße,,,"Einzel-, Streufund","Keramik, Bronze",Römerzeit,
FUNDPUNKTEOGD.4547200,4547200,POINT (16.452292631472 48.1499298994043),11,Zentralfriedhof (Neuer Israelitischer Friedhof),,,Grabbefund,Menschenskelett,unbekannt,
FUNDPUNKTEOGD.4547201,4547201,POINT (16.398037578714984 48.18986361589352),3,Aspangstraße,,,Siedlungsbefund,"Keramik, Terra Sigillata, Terra Nigra, Eisen, Schwert, Ziegel, Gruben",Römerzeit,
FUNDPUNKTEOGD.4547202,4547202,POINT (16.36937085246006 48.18680672936528),4,Kolschitzkygasse,,,"Einzel-, Streufund","Grube, Schaber",Urgeschichte,
FUNDPUNKTEOGD.4547203,4547203,POINT (16.38317271710912 48.19519560464023),3,Rennweg,,,"Einzel-, Streufund","Mauerwerk, Mithrasflachrelief",Römerzeit,
FUNDPUNKTEOGD.4547204,4547204,POINT (16.388379742859023 48.194227239160305),3,Rennweg,47,,"Einzel-, Streufund",Tonplatte mit Stempel (Ant. Tib. Vindob),Römerzeit,
FUNDPUNKTEOGD.4547205,4547205,POINT (16.351091987094104 48.212024800730575),8,Florianigasse,,,"Einzel-, Streufund",Keramik,Römerzeit,
FUNDPUNKTEOGD.4547206,4547206,POINT (16.37313096558646 48.209104462619706),1,Stephansplatz,7,,"Einzel-, Streufund",Grabstein,Römerzeit,
FUNDPUNKTEOGD.4547207,4547207,POINT (16.37511364756222 48.20767040513488),1,Domgasse,8,,Siedlungsbefund,"Mauerwerk, Keramik, Tierknochen",Mittelalter,
FUNDPUNKTEOGD.4547208,4547208,POINT (16.37876554297415 48.20779492405623),1,Dominikanerbastei,,,Siedlungsbefund,"Mauerwerk, Keramik",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547209,4547209,POINT (16.356115926948725 48.205391789888246),7,Neustiftgasse,3,,Grabbefund,"Grab, Keramik, Münzen",Römerzeit/Neuzeit,
FUNDPUNKTEOGD.4547210,4547210,POINT (16.3471805341705 48.214099113910024),8,Skodagasse,,,Siedlungsbefund,"Mauerwerk, Ziegel",Römerzeit,
FUNDPUNKTEOGD.4547211,4547211,POINT (16.352109813365278 48.20961303402364),8,Lange Gasse,,,"Einzel-, Streufund","Keramik, Grube",Römerzeit,
FUNDPUNKTEOGD.4547212,4547212,POINT (16.360887366143587 48.21436101123166),9,Sigmund-Freud-Park,,,"Einzel-, Streufund",Altar,Römerzeit,
FUNDPUNKTEOGD.4547213,4547213,POINT (16.3721920454038 48.21508453775166),1,Franz-Josefs-Kai,45,,"Einzel-, Streufund",Münze,Mittelalter,
FUNDPUNKTEOGD.4547214,4547214,POINT (16.32102131259592 48.252283409950266),19,Sieveringer Straße,,,"Einzel-, Streufund",Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4547215,4547215,POINT (16.369935194174854 48.21196015434816),1,Fütterergasse,1,,"Einzel-, Streufund",Ziegel mit Stempel (13. Leg),Römerzeit,
FUNDPUNKTEOGD.4547216,4547216,POINT (16.367659407418905 48.19994028748077),4,Treitlstraße,1,3,Siedlungsbefund,"Mauerwerk, menschliche Knochen",Mittelalter,
FUNDPUNKTEOGD.4547217,4547217,POINT (16.420256465182458 48.13170888463145),10,Klederinger Straße,,,"Einzel-, Streufund",Ziegel mit Stempel,Römerzeit,
FUNDPUNKTEOGD.4547182,4547182,POINT (16.34603551876965 48.19089985325654),6,Gumpendorfer Straße,108,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547218,4547218,POINT (16.376785104907935 48.20573639134265),1,Seilerstätte,1,3,Siedlungsbefund,"Mauerwerk, Grube, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547219,4547219,POINT (16.334747740727362 48.201826993393155),15,Märzpark,,,Grabbefund,"Körpergräber, Kleiderreste, Kreuze, Medaillons",Neuzeit,
FUNDPUNKTEOGD.4547220,4547220,POINT (16.38729629953078 48.19370363625034),3,Obere Bahngasse,4,8,Siedlungsbefund,"Ziegel, Keramik, Gruben, Ofen",Römerzeit,
FUNDPUNKTEOGD.4547221,4547221,POINT (16.360940131563787 48.21523329622563),9,Sigmund-Freud-Park,,,Siedlungsbefund,"Straße, Gräber, Keramik, Schmuck,  Münzen",Römerzeit,
FUNDPUNKTEOGD.4547222,4547222,POINT (16.418033290719638 48.16967283894602),11,Hugogasse (Schrebergärten),,,"Einzel-, Streufund","Eisen, Bronze",unbekannt,
FUNDPUNKTEOGD.4547223,4547223,POINT (16.36233322910486 48.18188006379533),5,Margartengürtel,15,,Fossilfund,versteinertes Holz,unbekannt,
FUNDPUNKTEOGD.4547224,4547224,POINT (16.31959413137369 48.204825359483024),15,Schmelz,,,"Einzel-, Streufund",Fibel,Römerzeit,
FUNDPUNKTEOGD.4547225,4547225,POINT (16.309089788303744 48.21445721840829),16,Ottakringer Straße,202,,"Einzel-, Streufund",Münzen,Neuzeit,
FUNDPUNKTEOGD.4547226,4547226,POINT (16.283734011052694 48.24053644472793),17,Geroldgasse,17,,Grabbefund,Sarkophag,Römerzeit,
FUNDPUNKTEOGD.4547227,4547227,POINT (16.334506352654024 48.219423593657126),17,Pezzlgasse,,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547228,4547228,POINT (16.280721304710077 48.22957979421916),17,Heuberg (Kuppe),,,"Einzel-, Streufund","Münzen, Fibel",Römerzeit,
FUNDPUNKTEOGD.4547229,4547229,POINT (16.370242972007492 48.20808838452493),1,Dorotheergasse,1,16,Siedlungsbefund,"Straße, Graben, Ziegel, Bronzefibeln, Terra Sigillata",Römerzeit,
FUNDPUNKTEOGD.4547230,4547230,POINT (16.37530164167716 48.21197172523681),1,Rabensteig,2,,Siedlungsbefund,"Ziegel, Mauerwerk",Römerzeit,
FUNDPUNKTEOGD.4547231,4547231,POINT (16.371475826145335 48.20863590605421),1,Goldschmiedgasse,4,,Siedlungsbefund,"Mauerstücke, Steinblöcke",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547232,4547232,POINT (16.36785922593321 48.208956319204994),1,Kohlmarkt,,,Siedlungsbefund,"Straße, Ziegel, Keramik, Münzen, Glasfläschchen",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547233,4547233,POINT (16.372121920864025 48.21137294415786),1,Marc-Aurel-Straße,1,5,Siedlungsbefund,"Mauerwerk, Böden, Menschenskelette, Ziegel mit Stempel",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547234,4547234,POINT (16.37010774959038 48.20268926132753),1,Kärntner Straße,55,,Siedlungsbefund,"Münzen, Straße, Hufeisen, Dolch, Hellebarde, Hacke, Mammuth-Backenzahn",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547235,4547235,POINT (16.37216053130984 48.211632683089576),1,Salvatorgasse,3,5,Siedlungsbefund,"Ziegel mit Stempel, Glas, Münze",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547236,4547236,POINT (16.370978057758826 48.210672922899626),1,Tuchlauben (Jeansshop),17,,Siedlungsbefund,"Ziegel mit Stempel, Mauerwerk, Pfostenlöcher, Pfostengräbchen",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547237,4547237,POINT (16.392083185075 48.195474549671765),3,Boerhaavegasse,15,17,"Einzel-, Streufund","Keramik, Urne, Eisenteile, Graben",Römerzeit,
FUNDPUNKTEOGD.4547238,4547238,POINT (16.35257999905535 48.204846560326274),7,St. Ulrichs-Platz,,,"Einzel-, Streufund",Votivstein,Römerzeit,
FUNDPUNKTEOGD.4547239,4547239,POINT (16.386781204007942 48.19229454205657),3,Keilgasse,8,10,"Einzel-, Streufund",Glas,unbekannt,
FUNDPUNKTEOGD.4547240,4547240,POINT (16.392621396978257 48.19264133415224),3,Rennweg,58,,Siedlungsbefund,"Mauerwerk, Brandgräber, bearbeitete Tierknochen, Keramik, Mühlsteine, Lampen, Terra Sigillata",Römerzeit,
FUNDPUNKTEOGD.4547241,4547241,POINT (16.389976656934987 48.19332617077963),3,Rennweg,44,,Siedlungsbefund,"Mauerwerk, Münzschatz, Keramik, Terra Sigillata, Fibeln, Beinnadeln, Bronzekessel, Mauerwerk, Brunnen, Gruben",Römerzeit,
FUNDPUNKTEOGD.4547242,4547242,POINT (16.393684016140956 48.19779419480389),3,Barmherzigengasse,3,,Siedlungsbefund,"Keramik, Ofen",Römerzeit,
FUNDPUNKTEOGD.4547243,4547243,POINT (16.253068270264908 48.20353352451064),14,Linzer Straße,429,,"Einzel-, Streufund",Keramik,unbekannt,
FUNDPUNKTEOGD.4547244,4547244,POINT (16.247157017082003 48.21067463120015),14,Wolfersberg,,,"Einzel-, Streufund",Lanzenspitze,Mittelalter,
FUNDPUNKTEOGD.4547245,4547245,POINT (16.344630419199323 48.15125869224952),23,Inzersdorf,,,"Einzel-, Streufund",menschlicher Schädel,Mittelalter,
FUNDPUNKTEOGD.4547246,4547246,POINT (16.251890559234983 48.13458139286785),23,Randgasse,2,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4547247,4547247,POINT (16.337183546444514 48.21402015803932),16,Payergasse,,,"Einzel-, Streufund",Medaillon,Römerzeit,
FUNDPUNKTEOGD.4547248,4547248,POINT (16.324163666129923 48.213332584540446),16,Ottakringer Straße,89,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547249,4547249,POINT (16.300371230888132 48.236855243962104),17,Josef Redl-Gasse,15,,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4547250,4547250,POINT (16.339116973336115 48.22710451144421),18,Schubertpark,,,Grabbefund,"Körpergräber, Schmuck, Kreuze, Rosenkränze, Medaillons, Löschschutzteich, Militaria",Neuzeit,
FUNDPUNKTEOGD.4547251,4547251,POINT (16.347865073993688 48.26616548834131),19,Nußberg,,,"Einzel-, Streufund",Münze,Neuzeit,
FUNDPUNKTEOGD.4547252,4547252,POINT (16.322484493053658 48.25200876218877),19,Sieveringer Straße,132,,Siedlungsbefund,"Altar, Lampen, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547253,4547253,POINT (16.363184135732826 48.25191813028013),19,Nußdorf,,,"Einzel-, Streufund","Schwerter, Lanzenspitze, Armreifen",unbekannt,
FUNDPUNKTEOGD.4547254,4547254,POINT (16.346484532637618 48.27784560610462),19,Leopoldsberg,,,Siedlungsbefund,"Keramik, Spinnwirtel, Tierknochen, Holzkohle, Hüttenlehm, Flachaxt",Urgeschichte,
FUNDPUNKTEOGD.4547255,4547255,POINT (16.32674240427445 48.24884732167293),19,Sieveringer Straße,90,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4547256,4547256,POINT (16.31831200552765 48.25341481898149),19,Sieveringer Straße,205,,Siedlungsbefund,Mauerwerk,unbekannt,
FUNDPUNKTEOGD.4547257,4547257,POINT (16.370297713661373 48.23287595876851),20,Jägerstraße,,,Grabbefund,Menschenskelett,unbekannt,
FUNDPUNKTEOGD.4547258,4547258,POINT (16.43791482923424 48.25552521670448),22,Leopoldau (Sandgrube Jirawetz),,,Siedlungsbefund,"Keramik, Gruben",Urgeschichte,
FUNDPUNKTEOGD.4547259,4547259,POINT (16.437794036361165 48.2563087884781),22,Leopoldau (Sandgrube Jirawetz),,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547260,4547260,POINT (16.43813861341432 48.2559409694162),22,Leopoldau (Sandgrube Jirawetz),,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547261,4547261,POINT (16.440954245402047 48.256698969527),22,Leopoldau (Donaufeld),,,Grabbefund,Gräber,Urgeschichte,
FUNDPUNKTEOGD.4547262,4547262,POINT (16.440862675552783 48.25759904189168),22,Leopoldau (Donaufeld),,,Siedlungsbefund,"Siedlungsbefunde, Keramik, Ziegel",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547263,4547263,POINT (16.440329189396916 48.25725991845291),22,Eipeldauer Straße (Donaufeld),,,Grabbefund,Gräber,Urgeschichte,
FUNDPUNKTEOGD.4547264,4547264,POINT (16.440282551280834 48.258141333736255),22,Leopoldau,,,Grabbefund,"Grab, Schwert",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547265,4547265,POINT (16.437821729049592 48.25679317076801),22,Leopoldau (Sandgrube Jirawetz),,,Siedlungsbefund,"Keramik, Wohngrube",Urgeschichte,
FUNDPUNKTEOGD.4547266,4547266,POINT (16.447396466742436 48.24891767150854),22,Kagraner Platz,,,"Einzel-, Streufund","Münzen, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547267,4547267,POINT (16.450390390668815 48.25715419762669),22,Rennbahnweg,27,,"Einzel-, Streufund",Keramik,"Urgeschichte, Mittelalter/Neuzeit",
FUNDPUNKTEOGD.4547268,4547268,POINT (16.371903086747455 48.15097336216779),10,Josef Enslein-Platz,1,3,Grabbefund,"Körpergrab, Keramik, Pfeilspitze, Bronze",Mittelalter,
FUNDPUNKTEOGD.4547269,4547269,POINT (16.394563831146595 48.196296988439194),3,Barmherzigengasse,17,,"Einzel-, Streufund","Grube, Glas, Eisen, Knochen, Holzkohle",Neuzeit,
FUNDPUNKTEOGD.4547270,4547270,POINT (16.38789641827348 48.19170544637961),3,Hohlweggasse,15,,"Einzel-, Streufund","Münze, Ziegel mit Stempel",Römerzeit,
FUNDPUNKTEOGD.4547271,4547271,POINT (16.37990557202277 48.196382950487845),3,Unteres Belvedere,,,Siedlungsbefund,"Kanäle, Keramik, Glas",Neuzeit,
FUNDPUNKTEOGD.4547272,4547272,POINT (16.36549913819229 48.1970997527113),4,Schleifmühlgasse,9,11,Siedlungsbefund,"Mauerwerk, Blechgefäß, Leuchter aus Eisendraht, Nägel, Ziegel mit Stempel, Keramik",Neuzeit,
FUNDPUNKTEOGD.4547273,4547273,POINT (16.437578938714427 48.25647803159581),22,Leopoldau (Sandgrube Jirawetz),,,Siedlungsbefund,"Wohngrube, Keramik",Römerzeit,
FUNDPUNKTEOGD.4547274,4547274,POINT (16.44016087429183 48.25785034483224),22,Leopoldau,,,"Einzel-, Streufund","Schwert, Sar, Messer",Römerzeit/Mittelalter,
FUNDPUNKTEOGD.4547275,4547275,POINT (16.439124826683134 48.25726904335246),22,Eipeldauer Straße (Sandgrube Rath),,,"Einzel-, Streufund","Keramik, Spinnwirtel",Urgeschichte,
FUNDPUNKTEOGD.4547276,4547276,POINT (16.43991473518859 48.25646248440661),22,Eipeldauer Straße,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547277,4547277,POINT (16.44079420137148 48.25504928662838),22,Eipeldauer Straße (Sandgrube Grodwovsky),,,"Einzel-, Streufund","Keramik, Ziegel, Grube",Römerzeit,
FUNDPUNKTEOGD.4547278,4547278,POINT (16.439142178498223 48.259443965356475),22,Leopoldau (Sandgrube Schmidt),,,Siedlungsbefund,Wohngrube,Urgeschichte,
FUNDPUNKTEOGD.4547279,4547279,POINT (16.44014213774955 48.25624200083014),22,Eipeldauer Straße,,,"Einzel-, Streufund",Keramik,Mittelalter,
FUNDPUNKTEOGD.4547280,4547280,POINT (16.438840771746296 48.259594051698144),22,Leopoldau,,,Grabbefund,Grab,Urgeschichte,
FUNDPUNKTEOGD.4547281,4547281,POINT (16.43845269741947 48.25856336099925),22,Eipeldauer Straße,,,Siedlungsbefund,"Keramik, Wohngrube",Urgeschichte,
FUNDPUNKTEOGD.4547282,4547282,POINT (16.43793739246007 48.25824161207351),22,Eipeldauer Straße,,,Siedlungsbefund,Siedlungsbefunde,Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547283,4547283,POINT (16.438439748512494 48.25744640617395),22,Leopoldau,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4547284,4547284,POINT (16.440700800789145 48.25747519174501),22,Leopoldau,,,"Einzel-, Streufund",Ziegel mit Stempel,Römerzeit,
FUNDPUNKTEOGD.4547285,4547285,POINT (16.438106044341797 48.25753613940812),22,Leopoldau,,,"Einzel-, Streufund","Lanzenspitzen, Keramik",unbekannt,
FUNDPUNKTEOGD.4547286,4547286,POINT (16.435225821412878 48.26422804168812),21,Siemensstraße,173,,"Einzel-, Streufund",Menschenskelette,Urgeschichte/Neuzeit,
FUNDPUNKTEOGD.4547287,4547287,POINT (16.426081638509466 48.2684569691197),21,Siemensstraße,,,"Einzel-, Streufund",Menschenskelett,Neuzeit,
FUNDPUNKTEOGD.4547288,4547288,POINT (16.396812966139215 48.30033044792892),21,Stammersdorf (Sandgrube Weber),,,"Einzel-, Streufund","Keramik, Tierknochen",Mittelalter,
FUNDPUNKTEOGD.4547289,4547289,POINT (16.39120096174338 48.304212649829054),21,Untere Jungenberggasse,,,"Einzel-, Streufund",Münze,Neuzeit,
FUNDPUNKTEOGD.4547290,4547290,POINT (16.484026042138595 48.22236059614917),22,Hausfeldstraße,,,"Einzel-, Streufund",Bronzenadeln,Urgeschichte,
FUNDPUNKTEOGD.4547291,4547291,POINT (16.480237086500082 48.21935350300325),22,Rueberstraße,31,,Grabbefund,"Brandgrab, Keramik",Urgeschichte,
FUNDPUNKTEOGD.4547292,4547292,POINT (16.500578320410177 48.21813936575371),22,Groß-Enzersdorfer-Straße,57,,Siedlungsbefund,"Keramik, Münze",Urgeschichte/Römerzeit,
FUNDPUNKTEOGD.4547293,4547293,POINT (16.481003775090926 48.21778756870337),22,Oberdorfstraße,,,"Einzel-, Streufund",Keramik,Urgeschichte,
